Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2015-07-06,302726.0,312260.65625,300942.96875,303952.75,55311438700
2015-07-07,301878.75,306634.3125,299845.4375,303775.875,32724518400
2015-07-08,307422.21875,309904.0,300368.90625,301623.59375,41983621060
2015-07-09,304763.40625,308806.09375,304050.6875,307469.875,45620555388
2015-07-10,321987.21875,332940.875,304095.71875,304681.90625,113460778000
2015-07-11,331278.5625,337371.5,320445.59375,321971.375,46462408980
2015-07-12,350953.3125,355328.125,330589.15625,331306.84375,63678424750
2015-07-13,331679.875,352273.0,317663.25,350908.125,70473373152
2015-07-14,328381.625,338413.09375,327498.25,331657.15625,32816229648
2015-07-15,327597.21875,334757.25,327019.1875,329045.34375,31503216858
2015-07-16,318745.59375,333899.5625,315331.4375,327841.3125,56716956120
2015-07-17,321163.625,322061.34375,311693.28125,318747.90625,31707485052
2015-07-18,315910.71875,324674.375,314961.53125,321001.59375,28944511578
2015-07-19,314437.21875,316794.46875,313166.5,315756.75,17620109000
2015-07-20,322384.84375,322384.84375,313999.53125,314305.03125,26244839612
2015-07-21,316623.1875,325125.90625,316164.5,322270.4375,26321691916
2015-07-22,320654.34375,321184.5625,316443.625,316421.1875,22427599966
2015-07-23,320572.96875,322886.875,319885.71875,320792.03125,21520213377
2015-07-24,337097.90625,338324.75,319514.84375,320521.84375,43499118390
2015-07-25,337587.8125,339968.625,334436.46875,336964.5625,24161343570
2015-07-26,342509.9375,342680.34375,336429.0,337521.1875,18761478429
2015-07-27,342377.3125,347767.25,335439.78125,342454.9375,35671495680
2015-07-28,341391.0625,346901.3125,341711.625,342387.8125,29513703736
2015-07-29,336263.21875,341337.78125,333777.125,341457.15625,28649082942
2015-07-30,337172.75,338768.53125,335545.34375,335697.71875,25354344946
2015-07-31,331807.96875,337561.90625,330367.875,337142.34375,27543732997
2015-08-01,328253.84375,332136.6875,324186.8125,331849.9375,22141901650
2015-08-02,329793.59375,330270.0625,323507.21875,326911.0,20680744068
2015-08-03,328979.34375,334012.5,325995.0625,330017.625,25120402180
2015-08-04,333200.21875,333600.84375,329426.96875,328977.0,25594400601
2015-08-05,330619.375,334721.375,329366.3125,332766.78125,23608131200
2015-08-06,323848.53125,330647.5625,323816.125,330647.5625,21846004171
